seed 18760600: Reno 35; coalition 91; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 18; starvation-windows 9
seed 18760601: Reno 32; coalition 83; east 3; wing incomplete; hill order-axis=0,combat-pursuit=2,initiative=2,camp-defence=0,unattributed=0; holder-violations 0; switches 24; starvation-windows 12
seed 18760602: Reno 18; coalition 63; east 3; wing complete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760603: Reno 39; coalition 39; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=1,unattributed=0; holder-violations 0; switches 12; starvation-windows 9
seed 18760604: Reno 33; coalition 48; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 12; starvation-windows 9
seed 18760605: Reno 43; coalition 84; east 2; wing incomplete; hill order-axis=0,combat-pursuit=1,initiative=7,camp-defence=0,unattributed=0; holder-violations 0; switches 21; starvation-windows 12
seed 18760606: Reno 43; coalition 84; east 3; wing incomplete; hill order-axis=0,combat-pursuit=4,initiative=5,camp-defence=0,unattributed=0; holder-violations 0; switches 27; starvation-windows 6
seed 18760607: Reno 33; coalition 83; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=6,camp-defence=0,unattributed=0; holder-violations 0; switches 15; starvation-windows 12
seed 18760608: Reno 36; coalition 72; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=7,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760609: Reno 22; coalition 76; east 3; wing complete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760610: Reno 32; coalition 44; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760611: Reno 41; coalition 46; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 12; starvation-windows 9
seed 18760612: Reno 42; coalition 63; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=9,camp-defence=0,unattributed=0; holder-violations 0; switches 12; starvation-windows 12
seed 18760613: Reno 28; coalition 54; east 3; wing incomplete; hill order-axis=0,combat-pursuit=8,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 15; starvation-windows 9
seed 18760614: Reno 30; coalition 37; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=4,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760615: Reno 32; coalition 45; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760616: Reno 30; coalition 32; east 3; wing complete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760617: Reno 37; coalition 47; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 12; starvation-windows 9
seed 18760618: Reno 51; coalition 91; east 3; wing incomplete; hill order-axis=0,combat-pursuit=2,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 30; starvation-windows 9
