seed 18760600: Reno 35; east 3; coalition 103; bouts 14; annih 2; suppress 7; wing incomplete; audit 0; accounting 0
seed 18760601: Reno 31; east 3; coalition 76; bouts 18; annih 4; suppress 8; wing incomplete; audit 0; accounting 0
seed 18760602: Reno 18; east 3; coalition 63; bouts 8; annih 2; suppress 2; wing complete; audit 0; accounting 0
seed 18760603: Reno 63; east 2; coalition 48; bouts 17; annih 4; suppress 5; wing incomplete; audit 0; accounting 0
seed 18760604: Reno 60; east 2; coalition 53; bouts 21; annih 4; suppress 7; wing incomplete; audit 0; accounting 0
seed 18760605: Reno 43; east 3; coalition 79; bouts 14; annih 3; suppress 5; wing complete; audit 0; accounting 0
seed 18760606: Reno 47; east 3; coalition 101; bouts 14; annih 3; suppress 6; wing complete; audit 0; accounting 0
seed 18760607: Reno 33; east 3; coalition 71; bouts 10; annih 3; suppress 3; wing incomplete; audit 0; accounting 0
seed 18760608: Reno 31; east 3; coalition 90; bouts 9; annih 3; suppress 2; wing complete; audit 0; accounting 0
seed 18760609: Reno 22; east 3; coalition 79; bouts 11; annih 4; suppress 2; wing complete; audit 0; accounting 0
seed 18760610: Reno 37; east 3; coalition 48; bouts 11; annih 4; suppress 3; wing complete; audit 0; accounting 0
seed 18760611: Reno 56; east 2; coalition 57; bouts 17; annih 5; suppress 4; wing incomplete; audit 0; accounting 0
seed 18760612: Reno 36; east 3; coalition 74; bouts 7; annih 2; suppress 2; wing complete; audit 0; accounting 0
seed 18760613: Reno 28; east 3; coalition 94; bouts 9; annih 2; suppress 2; wing incomplete; audit 0; accounting 0
seed 18760614: Reno 32; east 3; coalition 40; bouts 10; annih 4; suppress 2; wing complete; audit 0; accounting 0
seed 18760615: Reno 32; east 3; coalition 49; bouts 9; annih 4; suppress 2; wing complete; audit 0; accounting 0
seed 18760616: Reno 30; east 3; coalition 34; bouts 11; annih 4; suppress 2; wing complete; audit 0; accounting 0
seed 18760617: Reno 59; east 2; coalition 69; bouts 16; annih 4; suppress 4; wing incomplete; audit 0; accounting 0
seed 18760618: Reno 51; east 3; coalition 94; bouts 9; annih 1; suppress 4; wing incomplete; audit 0; accounting 0
seed 18760619: Reno 28; east 3; coalition 66; bouts 9; annih 3; suppress 2; wing complete; audit 0; accounting 0
seed 18760620: Reno 36; east 3; coalition 62; bouts 6; annih 1; suppress 2; wing incomplete; audit 0; accounting 0
seed 18760621: Reno 26; east 3; coalition 81; bouts 11; annih 4; suppress 2; wing complete; audit 0; accounting 0
seed 18760622: Reno 43; east 3; coalition 89; bouts 17; annih 5; suppress 6; wing complete; audit 0; accounting 0
