census rows parsed: 120 (with >=1 within-650 companion: 99)
row 18760600 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760600 t1724 co-i[self P2 1005m]: co-e:P3@146(own-obj 146m, order wing-consolidate) | rowSurvives=no
row 18760601 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760602 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760602 t1716 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760603 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760604 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760604 t1708 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760604 t1743 co-e[self P3 3972m]: co-c:P3@0(own-obj 4326m, order right-wing-ridges) co-f:P3@0(own-obj 3972m, order wing-consolidate) | rowSurvives=no
row 18760604 t1745 co-c[self P3 4326m]: co-f:P3@0(own-obj 3972m, order wing-consolidate) | rowSurvives=no
row 18760605 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760605 t1714 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760606 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760607 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760607 t1717 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760608 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760609 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760610 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760610 t1721 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760611 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760611 t1763 co-f[self P3 3972m]: co-c:P3@0(own-obj 4326m, order right-wing-ridges) co-e:P3@0(own-obj 3972m, order wing-consolidate) | rowSurvives=no
row 18760611 t1765 co-c[self P3 4326m]: co-e:P3@0(own-obj 3972m, order wing-consolidate) | rowSurvives=no
row 18760612 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760612 t1764 co-c[self P3 4326m]: co-e:P3@0(own-obj 3972m, order wing-consolidate) co-f:P3@0(own-obj 3972m, order wing-consolidate) | rowSurvives=no
row 18760612 t1766 co-e[self P3 3972m]: co-f:P3@0(own-obj 3972m, order wing-consolidate) | rowSurvives=no
