zero-distance pair-entries: 179
seed 18760600 t1684 co-l+co-c @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760600 t1684 co-l+co-i @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760601 t1684 co-l+co-c @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760601 t1684 co-l+co-i @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760602 t1684 co-l+co-c @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760602 t1684 co-l+co-i @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760602 t1716 co-i+co-e @(4628,16572): orders right-wing-ridges / wing-consolidate | pathEnds - / (6624,20006) | sameEnd=no | nearest-landmark last-stand-hill@0m
seed 18760602 t1716 co-i+co-f @(4628,16572): orders right-wing-ridges / wing-consolidate | pathEnds - / (6624,20006) | sameEnd=no | nearest-landmark last-stand-hill@0m
seed 18760603 t1684 co-l+co-c @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760603 t1684 co-l+co-i @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760604 t1684 co-l+co-c @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760604 t1684 co-l+co-i @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760604 t1708 co-i+co-e @(4628,16572): orders right-wing-ridges / wing-consolidate | pathEnds - / (6624,20006) | sameEnd=no | nearest-landmark last-stand-hill@0m
seed 18760604 t1708 co-i+co-f @(4628,16572): orders right-wing-ridges / wing-consolidate | pathEnds - / (6624,20006) | sameEnd=no | nearest-landmark last-stand-hill@0m
seed 18760604 t1743 co-e+co-c @(6624,20006): orders wing-consolidate / right-wing-ridges | pathEnds - / (6624,20006) | sameEnd=no | nearest-landmark last-stand-hill@3972m
